Recipe_Name                                                                                       ,calories      ,cuisine_type        ,meal_type                 ,diet_labels                        ,ingredient_1_name                    ,ingredient_1_quantity ,ingredient_1_unit ,ingredient_2_name        ,ingredient_2_quantity ,ingredient_2_unit ,ingredient_3_name             ,ingredient_3_quantity ,ingredient_3_unit ,ingredient_4_name                      ,ingredient_4_quantity ,ingredient_4_unit ,ingredient_5_name           ,ingredient_5_quantity ,ingredient_5_unit ,ingredient_6_name          ,ingredient_6_quantity ,ingredient_6_unit ,ingredient_7_name                ,ingredient_7_quantity ,ingredient_7_unit ,ingredient_8_name                 ,ingredient_8_quantity ,ingredient_8_unit ,ingredient_9_name                          ,ingredient_9_quantity ,ingredient_9_unit ,ingredient_10_name                         ,ingredient_10_quantity ,ingredient_10_unit ,ingredient_11_name         ,ingredient_11_quantity ,ingredient_11_unit ,ingredient_12_name     ,ingredient_12_quantity ,ingredient_12_unit ,ingredient_13_name   ,ingredient_13_quantity ,ingredient_13_unit ,ingredient_14_name    ,ingredient_14_quantity ,ingredient_14_unit ,ingredient_15_name    ,ingredient_15_quantity ,ingredient_15_unit ,ENERC_KCAL ,FAT     ,FASAT  ,FATRN ,FAMS   ,FAPU   ,CHOCDF  ,FIBTG  ,SUGAR  ,PROCNT  ,CHOLE   ,NA       ,CA       ,MG      ,K        ,FE     ,ZN     ,P        ,VITA_RAE ,VITC    ,VITD   ,TOCPHA ,VITK1    ,WATER
Gluten-Free Granola-Banana-Honey Yogurt Bowl recipes                                              ,  306.0380231 ,american            ,breakfast                 ,"Balanced, Low-Sodium"             ,yogurt                               ,          5.300000191 ,ounce             ,yogurt                   ,          5.300000191 ,ounce             ,banana                        ,          0.5         ,<unit>            ,Gluten Free Chex?granola mix honey nut ,          2           ,tablespoon        ,honey                       ,          1           ,teaspoon          ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,    76.51  ,  2.912 , 1.641 ,0     , 0.676 , 0.08  , 10.241 , 0.575 , 7.359 ,  3.007 ,  9.766 ,  38.292 ,  91.765 , 13.033 , 170.257 , 0.085 , 0.47  ,  74.686 ,  20.735 ,  1.669 , 0.075 , 0.06  ,   0.224 , 77.386
"Spinach, Tomato, and Feta Egg White Omelette"                                                    ,  167.8519258 ,mediterranean       ,breakfast                 ,Low-Carb                           ,cooking spray                        ,          0           ,                  ,egg whites               ,          3           ,<unit>            ,salt                          ,          0           ,                  ,black pepper                           ,          0           ,                  ,spinach                     ,          0.25        ,cup               ,cherry tomatoes            ,          6           ,<unit>            ,feta cheese                      ,          2           ,tablespoon        ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   167.852 ,  9.334 , 4.273 ,0     , 2.94  , 0.944 ,  7.047 , 1.556 , 3.281 , 14.178 , 27.305 , 518.632 , 177.351 , 32.812 , 440.466 , 0.806 , 1.128 , 144.465 , 116.542 , 16.082 , 0.123 , 0.765 ,  45.915 ,189.645
Chocolate Chip Pancakes recipes                                                                   , 2147.863     ,american            ,breakfast                 ,                                   ,eggs                                 ,          2           ,<unit>            ,whole milk               ,          1.25        ,cup               ,butter                        ,          4           ,tablespoon        ,salt                                   ,          0.25        ,teaspoon          ,flour                       ,          1.75        ,cup               ,baking powder              ,          2           ,teaspoon          ,sugar                            ,          1           ,tablespoon        ,chocolate chips                   ,          0.5         ,cup               ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   214.786 ,  9.384 , 5.407 ,0.024 , 1.962 , 0.512 , 27.363 , 0.895 , 9.887 ,  5.058 , 54.142 , 166.794 , 125.462 ,  9.536 ,  78.912 , 0.684 , 0.401 , 161.672 ,  76.408 ,  0.067 , 0.597 , 0.271 ,   0.585 , 38.219
Toast With Refried Beans and Avocado Recipe                                                       ,  744.72      ,mexican             ,breakfast                 ,"Balanced, High-Fiber"             ,sandwich bread                       ,          2           ,slice             ,refried beans            ,          1           ,cup               ,avocado                       ,          1           ,<unit>            ,white onion                            ,          1           ,<unit>            ,sea salt                    ,          0           ,                  ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   372.36  , 18.542 , 3.12  ,0.029 ,10.75  , 2.956 , 44.369 ,13.359 , 5.618 , 11.727 ,  0     , 723.224 ,  97.279 , 88.939 , 999.203 , 3.443 , 1.742 , 217.275 ,   7.035 , 21.873 , 0     , 2.255 ,  25.275 ,232.044
Apple Cinnamon Overnight Oats                                                                     ,  319.462     ,american            ,breakfast                 ,"High-Fiber, Low-Fat, Low-Sodium"  ,rolled oats                          ,          0.5         ,cup               ,cinnamon                 ,          1           ,teaspoon          ,stevia                        ,          1           ,packet            ,maple syrup                            ,          1           ,tablespoon        ,unsweetened almond milk     ,          0.5         ,cup               ,apple                      ,          1           ,<unit>            ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   319.462 ,  4.422 , 0.925 ,0.002 , 4.297 , 2.379 , 72.272 ,10.205 ,31.652 ,  6.773 ,  0     ,  90.88  , 312.52  ,131.26  , 471.946 , 2.733 , 1.778 , 258.386 ,  21.33  ,  8.471 , 0     , 3.385 ,   5.615 ,280.296
Pumpkin Bread French Toast                                                                        , 1422.229     ,french              ,brunch                    ,                                   ,pumpkin bread                        ,          6           ,slice             ,egg                      ,          3           ,<unit>            ,milk                          ,          6           ,tablespoon        ,cinnamon                               ,          0.5         ,teaspoon          ,vanilla                     ,          0.5         ,teaspoon          ,salt                       ,          1           ,pinch             ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   237.038 ,  8.835 , 2.297 ,0.008 , 3.597 , 2.318 , 33.854 , 0.775 , 0.886 ,  5.77  ,107.28  , 225.727 ,  43.8   , 12.652 , 131.323 , 1.239 , 0.547 ,  90.13  , 104.933 ,  1.028 , 0.625 , 0.241 ,   0.177 , 47.325
Breakfast Quesadilla                                                                              ,  417.295939  ,mexican             ,breakfast                 ,                                   ,eggs                                 ,          2           ,<unit>            ,corn tortillas           ,          2           ,tortilla          ,cheddar                       ,          0.25        ,cup               ,Sausage                                ,          0.5         ,<unit>            ,Salt                        ,          0           ,                  ,pepper                     ,          0           ,                  ,cooking spray                    ,          0           ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   417.296 , 25.574 ,10.223 ,0.045 , 9.028 , 3.734 , 24.106 , 3.16  , 1.019 , 23.116 ,361.34  , 453.133 , 324.726 , 56.586 , 278.577 , 2.321 , 3.197 , 488.626 , 252.33  ,  0     , 2.093 , 1.401 ,   1.971 ,106.853
Potato Salad with Lox and Everything-Bagel Spice                                                  , 1580.370318  ,nordic              ,lunch/dinner              ,                                   ,potatoes                             ,          2           ,pound             ,Kosher salt              ,          0           ,                  ,cr?e fra?he                   ,          0.5         ,cup               ,lemon zest                             ,          1           ,teaspoon          ,olive oil                   ,          0.25        ,cup               ,radishes                   ,          5           ,<unit>            ,black pepper                     ,          0           ,                  ,garlic                            ,          1           ,teaspoon          ,onion                                      ,          1           ,teaspoon          ,poppy seeds                                ,           1           ,teaspoon           ,sesame seeds               ,           1           ,teaspoon           ,sea salt               ,           0.5         ,teaspoon           ,smoked salmon        ,           4           ,ounce              ,dill                  ,                  0.25 ,cup                ,                      ,                       ,                   ,   263.395 , 14.046 , 3.407 ,0.149 , 7.941 , 1.597 , 28.303 , 3.568 , 1.969 ,  7.314 , 15.36  , 471.447 ,  56.263 , 45.059 , 722.767 , 1.671 , 0.673 , 141.023 ,  29.666 , 31.137 , 3.232 , 1.654 ,   9.769 ,150.078
Raisin Bagel Stackers Recipe 4                                                                    , 1073.481378  ,american            ,lunch/dinner              ,                                   ,cinnamon raisin bagels               ,          2           ,<unit>            ,cream cheese             ,          4           ,teaspoon          ,lettuce                       ,          4           ,leaf              ,turkey                                 ,          0.25        ,pound             ,fresh dill                  ,          2           ,sprig             ,onions                     ,          2           ,gram              ,swiss cheese                     ,          2           ,slice             ,tomato                            ,          4           ,slice             ,salt                                       ,          0.125       ,teaspoon          ,pepper                                     ,           0.125       ,teaspoon           ,reduced-fat mayonnaise     ,           2           ,teaspoon           ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   536.741 , 18.668 , 8.392 ,0.424 , 4.717 , 3.033 , 60.91  , 2.952 , 7.809 , 31.168 , 76.585 , 610.909 , 292.672 , 58.801 , 418.742 , 4.762 , 3.544 , 390.986 , 171.995 ,  5.459 , 0.17  , 1.119 ,  15.389 ,132.102
Pumpkin Spice Smoothie Bowl                                                                       ,  507.80275   ,american            ,breakfast                 ,Low-Sodium                         ,pumpkin puree                        ,          0.25        ,cup               ,banana                   ,          1           ,cup               ,cinnamon                      ,          0.5         ,teaspoon          ,nutmeg                                 ,          0.125       ,teaspoon          ,almond butter               ,          1           ,tablespoon        ,vanilla extract            ,          0.5         ,teaspoon          ,medjool date                     ,          1           ,<unit>            ,coconut milk                      ,          0.25        ,cup               ,ice                                        ,          1           ,cup               ,water                                      ,           0.5         ,cup                ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   126.951 ,  5.495 , 2.94  ,0     , 1.451 , 0.621 , 20.075 , 2.907 ,11.61  ,  2.033 ,  0     ,   7.144 ,  33.152 , 40.878 , 338.092 , 1.049 , 0.364 ,  55.72  , 121.291 ,  5.693 , 0     , 1.194 ,   2.995 ,156.5
On-The-Go Veggie McMuffin recipes                                                                 , 3704.32      ,french              ,lunch/dinner              ,High-Fiber                         ,eggs                                 ,         12           ,<unit>            ,spinach                  ,          2           ,cup               ,cheese                        ,         12           ,slice             ,whole wheat English muffins            ,         12           ,<unit>            ,                            ,                      ,                  ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   926.08  , 44.417 ,20.578 ,0.049 ,13.625 , 4.917 , 83.933 ,13.376 ,16.92  , 53.057 ,563.04  ,1456.37  ,1198.29  ,182.69  , 685.56  , 7.362 , 7.916 ,1198.43  , 512.93  ,  1.405 , 3.084 , 2.864 ,  28.533 ,224.266
Maple Bacon Pancakes Recipe                                                                       , 3362.763     ,american            ,breakfast                 ,                                   ,bacon                                ,         12           ,slice             ,maple syrup              ,          0.5         ,cup               ,eggs                          ,          2           ,<unit>            ,whole milk                             ,          1.25        ,cup               ,butter                      ,          4           ,tablespoon        ,salt                       ,          0.25        ,teaspoon          ,all-purpose flour                ,          1.75        ,cup               ,baking powder                     ,          2           ,teaspoon          ,sugar                                      ,          1           ,tablespoon        ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   560.461 , 32.806 ,13.614 ,0.092 ,12.495 , 4.198 , 50.424 , 0.987 ,20.896 , 15.495 ,125.717 , 607.026 , 217.645 , 28.944 , 303.731 , 2.424 , 1.714 , 366.259 , 121.182 ,  0     , 1.226 , 0.763 ,   0.975 , 99.009
Turkey Bacon Breakfast Burrito                                                                    , 5560.284213  ,american            ,lunch/dinner              ,High-Fiber                         ,vegetable oil                        ,          3           ,tablespoon        ,Turkey bacon             ,         14           ,ounce             ,eggs                          ,         16           ,<unit>            ,flour tortillas                        ,          8           ,<unit>            ,chili beans                 ,         16           ,ounce             ,Cheddar cheese             ,          1           ,cup               ,avocado                          ,          1           ,<unit>            ,cilantro                          ,          1           ,cup               ,salsa                                      ,          2           ,cup               ,sour cream                                 ,           1           ,cup                ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   695.036 , 42.387 ,12.658 ,0.405 ,18.216 , 7.334 , 46.127 , 7.685 , 5.849 , 33.967 ,445.612 ,1736.575 , 365.138 , 74.401 , 919.145 , 5.345 , 4.112 , 594.551 , 272.043 ,  5.226 , 2.085 , 4.409 ,  18.708 ,271.635
Waffles with Greek Yogurt and Berries                                                             , 1049.696     ,mediterranean       ,breakfast                 ,Balanced                           ,nonfat Greek yogurt                  ,          8           ,tablespoon        ,waffles                  ,          4           ,<unit>            ,blueberries                   ,          1           ,cup               ,Honey                                  ,          0           ,                  ,mint                        ,          2           ,tablespoon        ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   174.949 ,  7.241 , 1.474 ,0.001 , 1.785 , 3.436 , 21.074 , 0.721 , 3.256 ,  6.711 , 35.733 , 265.197 , 159.894 , 14.89  , 141.975 , 1.467 , 0.528 , 132.4   ,  37.344 ,  2.845 , 0     , 0.143 ,   4.761 , 64.387
French Toast with Berry Compote                                                                   , 1320.651293  ,french              ,lunch/dinner              ,                                   ,White Bread                          ,          4           ,slice             ,eggs                     ,          4           ,<unit>            ,light cream                   ,         80           ,milliliter        ,Milk                                   ,         80           ,milliliter        ,vanilla essence             ,          1           ,tablespoon        ,Ground Cinnamon            ,          1           ,tablespoon        ,Butter                           ,         25           ,gram              ,Berries                           ,          1           ,<unit>            ,Yoghurt                                    ,          1           ,cup               ,Berry                                      ,           1           ,cup                ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   220.109 , 13.017 , 6.861 ,0.017 , 3.858 , 1.207 , 17.284 , 2.061 , 6.993 ,  8.096 ,137.233 , 162.461 , 130.193 , 21.202 , 190.306 , 1.408 , 0.966 , 145.208 , 130.238 ,  2.788 , 0.874 , 0.759 ,   7.022 ,108.122
Classic Eggs Benedict with Hollandaise                                                            , 3777.803792  ,french              ,lunch/dinner              ,"High-Fiber, Low-Carb"             ,egg yolks                            ,          2           ,<unit>            ,lemon juice              ,          2           ,teaspoon          ,butter                        ,          1           ,cup               ,salt                                   ,          1           ,pinch             ,cayenne                     ,          1           ,pinch             ,Canadian bacon             ,         12           ,slice             ,white vinegar                    ,          3           ,tablespoon        ,eggs                              ,         12           ,<unit>            ,English muffins                            ,          6           ,<unit>            ,truffle                                    ,          12           ,slice              ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   629.634 , 43.069 ,23.017 ,0.037 ,13.445 , 3.763 , 33.845 , 8.941 , 1.822 , 29.429 ,489.822 , 761.603 , 184.316 , 51.524 , 699.391 , 4.088 , 2.706 , 416.297 , 418.353 ,  0.67  , 2.083 , 2.317 ,   3.417 ,149.907
Buttermilk Biscuits and Sausage Gravy recipes                                                     , 4469.346924  ,american            ,breakfast                 ,                                   ,self-rising flour                    ,          2.5         ,cup               ,sugar                    ,          2           ,teaspoon          ,kosher salt                   ,          0.5         ,teaspoon          ,shortening                             ,          4           ,tablespoon        ,butter                      ,          4           ,tablespoon        ,buttermilk                 ,          1           ,cup               ,butter                           ,          1           ,tablespoon        ,pork sausage                      ,          1           ,pound             ,yellow onion                               ,          0.25        ,cup               ,all purpose flour                          ,           6           ,tablespoon         ,whole milk                 ,           4           ,cup                ,poultry seasoning      ,           0.5         ,teaspoon           ,ground nutmeg        ,           0.5         ,teaspoon           ,salt                  ,                  0.25 ,teaspoon           ,Worcestershire sauce  ,           1.5         ,dash               ,   406.304 , 25.351 ,10.108 ,0.656 , 9.085 , 3.841 , 31.261 , 0.973 , 7.066 , 13.239 , 54.177 , 719.5   , 229.476 , 24.694 , 325.706 , 2.029 , 1.475 , 325.844 ,  99.381 ,  0.519 , 1.775 , 0.953 ,   4.003 ,129.546
